stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,tts_stop_name
2498854,40446,Kerner Blvd & Canal St,,37.967403,-122.499694,,,0,,,1,,Kerner Boulevard & Canal Street
2498719,40449,Medway Rd & Francisco Blvd E,,37.9631,-122.510101,,,0,,,1,,Medway Road & Francisco Boulevard East
2498872,40451,Francisco Blvd E & Bay St,,37.96656,-122.516441,,,0,,,1,,Francisco Boulevard East & Bay Street
2498720,40452,Canal St & Medway Rd,,37.965206,-122.508064,,,0,,,1,,Canal Street & Medway Road
2498721,40454,Canal St & Novato St,,37.965794,-122.505898,,,0,,,1,,Canal Street & Novato Street
2498871,40455,Medway Rd & Mill St,,37.964584,-122.508949,,,0,,,1,,Medway Road & Mill Street
2498722,40456,Canal St & Sonoma St,,37.967022,-122.503113,,,0,,,1,,Canal Street & Sonoma Street
2498870,40457,Canal St & Novato St,,37.965949,-122.505719,,,0,,,1,,Canal Street & Novato Street
2498724,40458,Kerner Blvd & Fairfax St,,37.964436,-122.501518,,,0,,,1,,Kerner Boulevard & Fairfax Street
2498869,40459,Canal St & Sonoma St,,37.966949,-122.50354,,,0,,,1,,Canal Street & Sonoma Street
2498725,40460,Kerner Blvd & Larkspur St,,37.962448,-122.50219,,,0,,,1,,Kerner Boulevard & Larkspur Street
